test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,flavor_4
4334,XXX OG,Indica,Stress, Pain, Insomnia, Depression, Lack of Appetite,Sleepy, Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid,,Earthy, Pine,,
4374,Omega,Hybrid,,,,,,Euphoric,Happy,Tingly,Relaxed,Uplifted,,,,Tropical,Sweet,Citrus,
4397,CBD Critical Mass,Hybrid,Pain, Inflammation, Depression, Muscle Spasms,,Relaxed, Happy, Euphoric, Tingly, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy,,,
4472,Bay 11,Hybrid,Depression, Insomnia, Stress, Pain,,Happy, Uplifted, Energetic, Relaxed, Creative, Anxious, Dry Mouth,,Sweet, Skunk,,
4526,Critical Sensi Star,Hybrid,Stress, Pain, Depression, Muscle Spasms, Insomnia,Relaxed, Happy, Sleepy, Uplifted, Tingly, Dry Mouth, Paranoid,,Citrus, Sweet,,
4539,Supergirl,Hybrid,Stress, Depression, Pain, Lack of Appetite,,Happy, Relaxed, Sleepy, Euphoric, Dry Mouth, Paranoid,,,Earthy,,,
4551,Strawberry,Sativa,Stress, Depression, Pain,,,Happy, Uplifted, Energetic, Talkative, Euphoric, Dry Mouth, Paranoid,,Strawberry, Sweet, Berry,
4556,Moonshine Haze,Sativa,Stress, Depression, Muscle Spasms,,,Uplifted, Happy, Euphoric, Talkative, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Citrus,,
4679,God,Hybrid,,,,,,,,,,,,,,Sweet,Skunk,Tropical,
4693,Chem Valley Kush,Hybrid,,,,,,,,,,,,,,Earthy,Sweet,Pungent,
4862,LA Confidential,Hybrid,Stress, Pain, Insomnia, Depression,,Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy, Pine, Sweet,
4877,Dance World,Hybrid,Stress, Depression, Pain, Inflammation, Lack of Appetite,Relaxed, Happy, Uplifted, Euphoric, Talkative, Dry Mouth,,,Citrus, Earthy,,
4880,Jack Cheddar,Hybrid,,,,,,,,,,,,,,Menthol,Spicy/Herbal,Pepper,
5070,Cotton Candy,Hybrid,,,,,,,,,,,,,,Citrus,Tropical,Chemical,
5079,Purple Mr. Nice,Indica,Insomnia, Pain, Depression, Stress, Nausea,Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Anxious,,Earthy, Grape, Sweet,
5136,Big Bang,Hybrid,Pain, Stress, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid, Anxious,Earthy,,,
5184,Island Sweet Skunk,Sativa,Stress, Pain, Depression,,,Happy, Uplifted, Energetic, Euphoric, Creative, Dry Mouth, Paranoid,,Sweet, Skunk,,
5185,Hash Plant,Indica,Stress, Pain, Insomnia, Depression,,Relaxed, Sleepy, Happy, Hungry, Euphoric, Dry Mouth, Paranoid,,Earthy,,,
5185,Hash Plant,Indica,Stress, Pain, Insomnia, Depression,,Relaxed, Sleepy, Happy, Hungry, Euphoric, Dry Mouth, Paranoid,,Earthy,,,
5192,Lemon Haze,Hybrid,Stress, Depression, Pain, Lack of Appetite,,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Lemon, Citrus, Sweet,
5220,Abusive OG,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Anxious,,Earthy, Citrus,,
5229,Raspberry Kush,Hybrid,Stress, Insomnia, Pain, Lack of Appetite, Muscle Spasms,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Berry, Sweet,,
5233,Critical Hog,Hybrid,Stress, Depression, Pain, Lack of Appetite,,Relaxed, Happy, Hungry, Sleepy, Euphoric, Dry Mouth, Paranoid,,Earthy,,,
5268,Double Bubble,Hybrid,,,,,,,,,,,,,,Pineapple,Tropical,Sweet,
5440,Pink Champagne,Indica,Stress, Depression, Insomnia,,,Relaxed, Euphoric, Happy, Uplifted, Dry Mouth, Anxious,,,Berry, Sweet, Rose,
5670,Red Headed Stranger,Sativa,Depression, Stress, Pain, Lack of Appetite,,Focused, Happy, Energetic, Uplifted, Creative, Dry Mouth, Paranoid, Anxious,Citrus, Earthy,,
5715,CheeseWreck,Hybrid,,,,,,Happy,Relaxed,Uplifted,Creative,Euphoric,,,,Sweet,Pungent,Citrus,
5744,Sugar Black Rose,Hybrid,Stress, Insomnia, Muscle Spasms, Lack of Appetite,,Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious,,Sweet, Rose, Earthy,
5782,Jock Horror,Hybrid,Depression, Stress, Lack of Appetite, Insomnia,,Euphoric, Happy, Creative, Hungry, Relaxed, Dry Mouth, Anxious,,Sweet, Berry, Earthy,
5825,Brainwreck,Hybrid,,,,,,Creative,Focused,Uplifted,Happy,Euphoric,,,,Earthy,Pungent,Woody,
5880,Galactic Jack,Hybrid,Depression, Stress, Pain,,,Energetic, Focused, Happy, Uplifted, Euphoric, Dry Mouth, Anxious,,Citrus, Sweet,,
5884,Marionberry Kush,Hybrid,,,,,,,,,,,,,,Earthy,Sweet,Woody,
5885,Pennywise,Hybrid,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth, Anxious, Paranoid,Earthy,,,
5921,WSU,Indica,Pain, Stress, Depression, Insomnia, Lack of Appetite,Relaxed, Euphoric, Hungry, Happy, Talkative, Dry Mouth,,,Pine, Earthy, Berry,
5930,American Kush,Hybrid,Pain, Muscle Spasms, Stress, Insomnia,,Relaxed, Happy, Tingly, Sleepy, Uplifted, Dry Mouth, Anxious,,Sweet, Lemon, Lime,
5941,Cali Orange,Hybrid,,,,,,,,,,,,,,Woody,Earthy,Pine,
5974,Pre-98 Bubba Kush,Indica,Pain, Stress, Insomnia, Inflammation, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious,,Earthy, Coffee, Pine,
5985,Sweet Tooth,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid,,Sweet, Berry,,
5990,Purple Afghani,Hybrid,Stress, Pain, Insomnia, Depression,,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,,Sweet, Grape,,
6068,DJ Short Blueberry,Indica,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Uplifted, Creative, Dry Mouth, Anxious,,Blueberry, Sweet, Berry,
6118,Purple Wreck,Hybrid,Stress, Pain, Depression, Inflammation,,Relaxed, Sleepy, Happy, Uplifted, Dry Mouth, Paranoid, Anxious,,Grape, Sweet, Berry,
6120,Chocolate Kush,Hybrid,Stress, Pain, Insomnia, Lack of Appetite,,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,,Earthy, Coffee, Sweet,
6125,Pure Kush,Indica,Pain, Insomnia, Stress, Nausea,,Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid,,Earthy, Skunk,,
6285,XJ-13,Hybrid,,,,,,Happy,Euphoric,Relaxed,Uplifted,Creative,,,,,,,
6439,Violator Kush,Indica,Depression, Stress, Insomnia, Pain,,Relaxed, Sleepy, Euphoric, Happy, Focused, Dry Mouth, Paranoid, Anxious,Earthy,,,
6533,G13,Indica,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious,,Earthy, Sweet,,
6600,Cannalope Haze,Hybrid,Depression, Stress, Pain, Nausea,,Happy, Relaxed, Focused, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious,Sweet, Lime,,
6600,Cannalope Haze,Hybrid,Depression, Stress, Pain, Nausea,,Happy, Relaxed, Focused, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious,Sweet, Lime,,
6611,Tangerine,Hybrid,,,,,,Happy,Uplifted,Energetic,Relaxed,Creative,,,,,,,
6615,Super Sour Diesel,Hybrid,Stress, Depression, Pain,,,Euphoric, Uplifted, Energetic, Happy, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,,
6622,Blue Venom,Hybrid,,,,,,,,,,,,,,Earthy,Pine,Lemon,
6639,Gigabud,Hybrid,Pain, Stress, Lack of Appetite, Insomnia, Nausea,Hungry, Relaxed, Sleepy, Happy, Focused, Dry Mouth, Anxious,,Sweet, Pine,,
6640,Jamaican Dream,Hybrid,Stress, Depression, Nausea, Muscle Spasms, Pain,Happy, Euphoric, Uplifted, Relaxed, Talkative, Dry Mouth, Paranoid,,Earthy, Lime,,
6698,Mr. Nice,Hybrid,Stress, Pain, Depression, Insomnia,,Relaxed, Happy, Hungry, Sleepy, Dry Mouth, Anxious,,,Sweet, Earthy,,
6823,Afghooey,Indica,Pain, Stress, Insomnia, Depression, Muscle Spasms,Uplifted, Sleepy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid,,Earthy, Sweet,,
6831,Cookie Monster,Hybrid,Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms,Relaxed, Euphoric, Happy, Sleepy, Dry Mouth, Anxious,,,Grape,,,
6832,Sweet Baby Jane,Indica,Muscle Spasms, Stress, Pain, Inflammation, Insomnia,Relaxed, Happy, Sleepy, Tingly, Dry Mouth,,,,Citrus, Sweet,,
6848,Dairy Queen,Hybrid,,,,,,,,,,,,,,Earthy,Diesel,Citrus,
6856,Sweet and Sour Widow,Indica,Pain, Stress, Depression, Insomnia,,Relaxed, Happy, Uplifted, Euphoric, Tingly, Dry Mouth, Paranoid,,Earthy, Sweet,,
6866,Early Girl,Indica,Stress, Pain, Depression, Muscle Spasms, Lack of Appetite,Relaxed, Happy, Uplifted, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Citrus, Earthy, Sweet,
6875,Nuken,Hybrid,Depression, Lack of Appetite, Pain,,,Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid,,,Citrus, Earthy,,
6939,Kilimanjaro,Sativa,Depression, Stress, Pain, Muscle Spasms,,Energetic, Happy, Talkative, Creative, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy, Pine,,
6941,Wild Thailand,Hybrid,Depression, Pain, Stress,,,Horny, Euphoric, Talkative, Creative, Energetic, Dry Mouth, Anxious,,Sweet, Berry,,
6999,Great White Shark,Sativa,Stress, Pain, Depression,,,Relaxed, Happy, Uplifted, Euphoric, Energetic, Dry Mouth, Anxious,,Earthy, Citrus,,
7004,Haze Mist,Hybrid,Nausea, Stress,,,,Energetic, Focused, Happy, Hungry,,,,,,,,
7019,Kalashnikova,Hybrid,,,,,,Relaxed,Happy,Energetic,Hungry,Sleepy,,,,,,,
7036,Super Critical,Hybrid,,,,,,,,,,,,,,Sage,Pungent,Diesel,
7052,The Doctor,Hybrid,Insomnia, Pain, Stress, Inflammation, Depression,Relaxed, Euphoric, Happy, Sleepy, Dry Mouth, Anxious,,,Earthy, Citrus,,
7409,Jamaican Lion,Hybrid,Pain, Stress, Muscle Spasms, Depression,,Uplifted, Relaxed, Happy, Energetic, Talkative, Dry Mouth, Paranoid,,Earthy, Lime,,
7416,Jedi Kush,Hybrid,Stress, Pain, Depression, Insomnia,,Relaxed, Euphoric, Happy, Uplifted, Sleepy, Dry Mouth, Anxious,,Earthy, Sweet,,
7428,Redwood Kush,Hybrid,Insomnia, Pain, Stress, Depression, Muscle Spasms,Euphoric, Relaxed, Uplifted, Happy, Focused, Dry Mouth, Paranoid,,Pine, Earthy,,
7454,Jesus OG,Hybrid,Stress, Depression, Pain,,,Happy, Euphoric, Uplifted, Focused, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Citrus, Lemon,
7457,ACDC,Sativa,,,,,,Relaxed,Happy,Uplifted,Focused,Euphoric,,,,,,,
7474,Orange Creamsicle,Hybrid,,,,,,,,,,,,,,Diesel,Earthy,Pungent,
7475,Original Blueberry,Hybrid,,,,,,,,,,,,,,Earthy,Sweet,Flowery,
7514,Shark Shock,Hybrid,Pain, Stress, Inflammation, Depression, Muscle Spasms,Relaxed, Euphoric, Focused, Happy, Sleepy, Dry Mouth, Anxious,,Earthy, Sweet,,
7515,SnowLAnd,Hybrid,,,,,,Relaxed,Sleepy,Talkative,Creative,Focused,,,,,,,
7785,Humboldt,Hybrid,,,,,,Relaxed,Sleepy,Euphoric,Happy,Uplifted,,,,Diesel,Flowery,Earthy,
7821,Grapefruit,Hybrid,Stress, Depression, Pain,,,Happy, Energetic, Euphoric, Relaxed, Uplifted, Dry Mouth, Paranoid,,Citrus, Sweet,,
7824,NightFire OG,Hybrid,Stress, Depression,,,,Talkative, Energetic, Happy, Euphoric, Creative, Dry Mouth, Anxious,,Earthy, Citrus,,
7855,Fucking Incredible,Hybrid,Pain, Stress, Depression, Insomnia,,Relaxed, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid, Anxious,,Skunk, Earthy,,
7892,Afghan Skunk,Hybrid,Stress, Insomnia, Depression, Nausea, Muscle Spasms,Relaxed, Happy, Sleepy, Uplifted, Creative, Dry Mouth, Anxious,,Earthy,,,
7911,Monster Cookies,Hybrid,Stress, Pain, Insomnia, Depression,,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid,,Earthy, Grape, Sweet,
7955,Green Dragon,Hybrid,Pain, Stress, Nausea, Depression,,Relaxed, Euphoric, Uplifted, Sleepy, Happy, Dry Mouth, Paranoid, Anxious,Sweet, Earthy,,
8022,Purple Bubba,Indica,Lack of Appetite, Muscle Spasms, Inflammation, Pain, Stress,Relaxed, Sleepy, Hungry, Happy, Tingly, Dry Mouth,,,Grape, Berry, Sweet,
8085,Tropicali,Hybrid,,,,,,Euphoric,Uplifted,Relaxed,Energetic,Happy,,,,,,,
8151,Huckleberry,Hybrid,,,,,,Happy,Relaxed,Talkative,Uplifted,Euphoric,,,,,,,
8349,Yummy,Hybrid,,,,,,Uplifted,Relaxed,Happy,Energetic,Euphoric,,,,,,,
8363,Pineapple Euphoria,Hybrid,,,,,,,,,,,,,,Skunk,Pungent,Earthy,
8597,Chronic Thunder,Indica,Insomnia, Pain, Muscle Spasms, Stress, Lack of Appetite,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Earthy,,,
8766,Jacky White,Hybrid,Stress, Nausea, Depression, Pain,,Energetic, Relaxed, Happy, Focused, Euphoric, Dry Mouth, Anxious, Paranoid,Citrus,,,
8773,Hawaiian,Hybrid,Stress, Depression, Pain, Lack of Appetite, Nausea,Happy, Uplifted, Relaxed, Creative, Talkative, Dry Mouth, Paranoid, Anxious,Sweet, Citrus,,
8873,Emerald Jack,Hybrid,Stress, Depression, Pain, Insomnia,,Happy, Uplifted, Creative, Horny, Euphoric, Dry Mouth, Anxious, Paranoid,Pine, Earthy, Citrus,
8966,K2,Hybrid,,,,,,Relaxed,Happy,Giggly,Hungry,Sleepy,,,,,,,
8985,Cannalope Kush,Hybrid,,,,,,,,,,,,,,Citrus,Lime,Lemon,
8991,Lemon Sour Diesel,Hybrid,,,,,,,,,,,,,,Vanilla,Sweet,Coffee,
9028,Apple Jack,Hybrid,,,,,,,,,,,,,,Earthy,Pungent,Citrus,
9048,Northern Berry,Hybrid,Stress, Pain, Insomnia, Depression, Inflammation,Relaxed, Sleepy, Happy, Euphoric, Tingly, Dry Mouth, Paranoid,,Berry, Sweet, Earthy,
9187,Northern Lights #5,Hybrid,Pain, Stress, Insomnia, Inflammation, Nausea,Relaxed, Euphoric, Happy, Focused, Uplifted, Dry Mouth, Paranoid,,Sweet, Pine, Citrus,
9228,Medusa,Hybrid,,,,,,Relaxed,Happy,Euphoric,Creative,Uplifted,,,,,,,
9237,Black Russian,Hybrid,Stress, Insomnia, Lack of Appetite, Nausea,,Relaxed, Euphoric, Uplifted, Happy, Sleepy, Dry Mouth, Paranoid,,Citrus, Earthy, Lemon,
9494,Golden Pineapple,Hybrid,,,,,,,,,,,,,,Woody,Spicy/Herbal,Sweet,
9532,9 Pound Hammer,Hybrid,Stress, Pain, Insomnia, Depression, Muscle Spasms,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious,,Earthy, Sweet, Berry,
9751,Jazz,Hybrid,,,,,,Uplifted,Relaxed,Euphoric,Energetic,Happy,,,,,,,
9759,Blue Lights,Indica,Stress, Depression, Insomnia, Nausea, Pain,Euphoric, Relaxed, Energetic, Talkative, Dry Mouth, Paranoid,,,Blueberry, Sweet,,
9774,Frankenstein,Hybrid,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Sleepy, Creative, Tingly, Focused, Dry Mouth, Anxious,,Earthy, Skunk,,
9880,Supernatural,Hybrid,Stress, Lack of Appetite,,,,Euphoric, Relaxed, Happy, Energetic, Horny, Dry Mouth,,,Citrus, Earthy,,
9894,Canna-Tsu,Hybrid,,,,,,Relaxed,Happy,Focused,Uplifted,Creative,,,,,,,
9901,Platinum Bubba Kush,Indica,Pain, Stress, Insomnia, Depression, Inflammation,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid,,Earthy,,,
9905,Swiss Gold,Hybrid,Pain, Stress, Depression, Inflammation,,Relaxed, Happy, Focused, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious,Citrus, Berry,,
9954,Blue Power,Hybrid,Stress, Insomnia, Depression, Lack of Appetite, Nausea,Relaxed, Happy, Sleepy, Hungry, Uplifted, Dry Mouth, Paranoid,,Berry, Earthy,,
9990,Jillybean,Hybrid,,,,,,Happy,Uplifted,Euphoric,Relaxed,Creative,,,,,,,
10502,Power Plant,Hybrid,Pain, Stress, Depression, Inflammation,,Happy, Uplifted, Relaxed, Euphoric, Energetic, Dry Mouth, Paranoid,,Earthy,,,
10503,Opium,Hybrid,,,,,,Happy,Relaxed,Euphoric,Uplifted,Giggly,,,,,,,
10504,Skunk 47,Indica,Pain, Depression, Stress, Nausea,,Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth,,,Earthy, Skunk,,
10527,C4,Hybrid,,,,,,Relaxed,Happy,Euphoric,Creative,Uplifted,,,,,,,
10764,NYPD,Sativa,Stress, Depression, Pain,,,Uplifted, Relaxed, Happy, Energetic, Euphoric, Anxious, Dry Mouth, Paranoid,Earthy,,,
10983,QuickSilver,Hybrid,,,,,,,,,,,,,,Earthy,Pungent,Citrus,
10997,Space Jill,Sativa,Pain, Stress, Depression, Nausea,,Creative, Focused, Energetic, Uplifted, Euphoric, Dry Mouth, Paranoid,,,,,
11047,White Kush,Hybrid,Insomnia, Pain, Stress, Depression, Lack of Appetite,Sleepy, Relaxed, Hungry, Horny, Happy, Dry Mouth, Paranoid, Anxious,Berry, Sweet,,
11111,Goo,Hybrid,Pain, Stress, Insomnia, Lack of Appetite, Muscle Spasms,Sleepy, Relaxed, Hungry, Euphoric, Happy, Dry Mouth, Paranoid,,Berry, Sweet, Blueberry,
11113,Chemo,Hybrid,Insomnia, Pain, Stress, Lack of Appetite, Depression,Relaxed, Sleepy, Happy, Hungry, Euphoric, Dry Mouth, Paranoid,,Earthy, Sweet,,
11118,True OG,Indica,Stress, Insomnia, Pain, Depression,,Relaxed, Euphoric, Sleepy, Happy, Focused, Dry Mouth, Anxious,,Earthy, Pine,,
11209,Deep Sleep,Indica,Pain, Insomnia, Depression, Lack of Appetite, Nausea,Relaxed, Sleepy, Euphoric, Happy, Tingly, Dry Mouth, Anxious,,Earthy, Sweet, Pine,
11633,Matanuska Thunder,Hybrid,,,,,,,,,,,,,,Sweet,Blueberry,Berry,
11644,Hawaiian Delight,Indica,Pain, Stress, Nausea, Depression,,Happy, Relaxed, Horny, Uplifted, Euphoric, Dry Mouth, Paranoid,,Sweet,,,
11656,Purple Nepal,Hybrid,Stress, Insomnia, Pain, Depression,,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid,,Grape, Berry,,
11745,Dream Berry,Hybrid,Pain, Depression, Stress, Insomnia, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Dry Mouth,,,,Berry, Citrus,,
11770,Gorilla Glue,Hybrid,,,,,,,,,,,,,,Berry,Sweet,Earthy,
11786,Blue Moonshine,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Euphoric, Uplifted, Energetic, Dry Mouth, Paranoid,,Berry, Earthy, Pine,
11867,EWOK,Hybrid,,,,,,Relaxed,Happy,Euphoric,Creative,Uplifted,,,,,,,
11884,Bay Dream,Hybrid,Depression, Stress, Lack of Appetite, Pain,,Happy, Euphoric, Hungry, Uplifted, Focused, Dry Mouth, Paranoid, Anxious,Citrus,,,
11886,Hawaiian Dream,Sativa,Depression, Pain, Inflammation, Stress,,Happy, Relaxed, Focused, Euphoric, Energetic, Dry Mouth, Anxious, Paranoid,Sweet, Pineapple,,
11896,Presidential OG,Hybrid,Insomnia, Stress, Pain, Lack of Appetite, Depression,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious,,Earthy, Pine,,
11964,Grape Skunk,Hybrid,Nausea, Stress, Pain, Depression, Insomnia,Happy, Uplifted, Talkative, Energetic, Relaxed, Dry Mouth,,,Skunk, Earthy, Grape,
12031,Laughing Buddha,Sativa,Depression, Stress, Pain, Lack of Appetite,,Happy, Euphoric, Uplifted, Energetic, Dry Mouth, Paranoid, Anxious,,Citrus, Sweet,,
12090,MILF,Hybrid,,,,,,Happy,Euphoric,Uplifted,Giggly,Relaxed,,,,,,,
12284,Northern Wreck,Hybrid,Depression, Stress, Pain, Nausea,,Euphoric, Happy, Relaxed, Creative, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy, Pine,,
12426,Blue Dynamite,Hybrid,Pain, Stress, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,,Citrus, Lemon, Earthy,
12611,Guard Dawg,Hybrid,Muscle Spasms,,,,,Euphoric, Happy, Relaxed,,,,,,Sweet, Earthy,,
12637,Cotton Candy Kush,Hybrid,,,,,,,,,,,,,,Sweet,Earthy,Flowery,
12641,Tutankhamon,Sativa,Depression, Stress, Nausea, Pain, Insomnia,Uplifted, Focused, Happy, Energetic, Euphoric, Dry Mouth, Anxious, Paranoid,Skunk,,,
12827,Champagne,Hybrid,,,,,,,,,,,,,,Cheese,Earthy,Pungent,
12836,Blue Afghani,Hybrid,Lack of Appetite, Stress, Insomnia, Depression,,Relaxed, Euphoric, Hungry, Creative, Happy, Dry Mouth, Paranoid,,Blueberry,,,
12997,Lavender Haze,Sativa,Stress, Depression, Pain, Inflammation, Lack of Appetite,Happy, Focused, Relaxed, Euphoric, Uplifted, Dry Mouth, Anxious, Paranoid,Lavender, Earthy,,
13108,Aliens On Moonshine,Indica,Inflammation, Stress,,,,Relaxed, Happy, Tingly, Focused,,,,,Vanilla,,,
13369,Snowcap,Hybrid,,,,,,Happy,Euphoric,Uplifted,Focused,Creative,,,,,,,
13404,Flowerbomb Kush,Hybrid,Stress, Pain, Lack of Appetite, Muscle Spasms,,Relaxed, Hungry, Sleepy, Tingly, Happy, Dry Mouth, Anxious, Paranoid,Earthy, Citrus,,
13525,Blue Knight,Indica,Stress, Pain, Depression, Lack of Appetite,,Relaxed, Uplifted, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious,Berry, Sweet, Blueberry,
13531,Super Silver Sour Diesel Haze,Hybrid,,,,,,,,,,,,,,Cheese,Pepper,Tea,
13701,Platinum Kush,Hybrid,Stress, Insomnia, Lack of Appetite, Pain, Depression,Relaxed, Happy, Hungry, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,
13817,Matanuska Thunder Fuck,Sativa,Depression, Stress, Pain, Inflammation,,Euphoric, Happy, Relaxed, Creative, Energetic, Dry Mouth, Anxious, Paranoid,Earthy, Pine,,
13845,Afghani,Indica,Stress, Insomnia, Pain, Lack of Appetite, Depression,Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid,,Earthy, Sweet, Pine,
14053,Bubbleberry,Hybrid,,,,,,Happy,Relaxed,Focused,Uplifted,Hungry,,,,,,,
14223,Hammerhead,Hybrid,Insomnia, Pain, Stress, Lack of Appetite,,Sleepy, Horny, Tingly, Relaxed, Euphoric, Dry Mouth,,,Berry, Earthy,,
14253,Vader OG,Hybrid,Pain, Stress, Depression, Insomnia,,Relaxed, Happy, Talkative, Creative, Anxious,,,,Earthy, Sweet,,
14283,Key Lime Pie,Hybrid,,,,,,,,,,,,,,Menthol,Spicy/Herbal,Sweet,
14472,Blue Alien,Hybrid,Pain, Stress, Insomnia, Inflammation,,Relaxed, Euphoric, Sleepy, Hungry, Happy, Dry Mouth, Paranoid, Anxious,Blueberry, Grape, Citrus,
14538,Dark Star,Indica,Pain, Stress, Insomnia, Depression,,Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy, Pine,,
14714,Strawberry Mango Haze,Sativa,Stress, Depression, Pain,,,Happy, Euphoric, Uplifted, Focused, Dry Mouth, Paranoid, Anxious,,Mango, Strawberry, Sweet,
14801,Nordle,Hybrid,Stress, Pain, Depression, Inflammation, Muscle Spasms,Relaxed, Happy, Sleepy, Focused, Dry Mouth, Paranoid, Anxious,,Pine,,,
15126,Pineapple Super Silver Haze,Sativa,Stress, Depression, Lack of Appetite, Pain,,Happy, Uplifted, Euphoric, Creative, Energetic, Dry Mouth, Anxious, Paranoid,Pineapple, Citrus, Sweet,
15206,Trinity,Hybrid,Depression, Pain, Stress, Muscle Spasms,,Happy, Uplifted, Euphoric, Relaxed, Horny, Dry Mouth, Anxious, Paranoid,Earthy, Skunk,,
15590,Ancient OG,Hybrid,Stress, Insomnia, Depression, Pain, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid,,Earthy, Pine,,
15780,Shishkaberry,Indica,Stress, Depression, Insomnia, Pain,,Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid,,Berry, Sweet, Earthy,
15792,Purple Pinecone,Hybrid,,,,,,Euphoric, Focused, Happy, Relaxed, Uplifted,,,,,,,
15993,Wappa,Hybrid,,,,,,Happy,Giggly,Relaxed,Hungry,Uplifted,,,,,,,
16381,Purple Dragon,Indica,Stress, Insomnia, Depression, Pain,,Relaxed, Euphoric, Uplifted, Happy, Dry Mouth, Paranoid, Anxious,,Grape, Earthy, Sweet,
16451,Candyland,Sativa,Stress, Depression, Pain,,,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious,,Sweet, Earthy,,
16453,3X Crazy,Indica,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Happy, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Grape, Sweet,
16543,Mazar Kush,Indica,Pain, Insomnia, Inflammation, Stress, Nausea,Relaxed, Sleepy, Happy, Hungry, Dry Mouth, Anxious,,,Earthy,,,
16594,Bianca,Hybrid,,,,,,Relaxed,Sleepy,Euphoric,Focused,Creative,,,,,,,
16698,Sin Diesel,Hybrid,,,,,,,,,,,,,,Cheese,Woody,Pungent,
16819,Ghost OG Moonshine,Indica,Depression, Lack of Appetite, Pain, Stress, Insomnia,Euphoric, Happy, Hungry, Relaxed, Sleepy, Dry Mouth,,,Earthy, Skunk,,
